Identifier,Polymer EntityData,,,
Entry ID,Asym ID,Sequence Cluster  ID,Sequence Cluster Identity Threshold,
"5LS2","A",49393,100
,"B",48434,95
,,35612,90
,,43079,70
,,25756,50
,,8851,30
"5LRN","A",3451,100
,"B",3775,95
,,3754,90
,,2977,70
,,2276,50
,,2327,30
"5LRM","A",3451,100
,,3775,95
,,3754,90
,,2977,70
,,2276,50
,,2327,30
"5M3M","A",900,100
,,1172,95
,,1201,90
,,1286,70
,,1183,50
,,1085,30
,"J",141,100
,,174,95
,,179,90
,,204,70
,,220,50
,,240,30
,"K",1016,100
,,1312,95
,,1347,90
,,1402,70
,,1385,50
,,1446,30
,"L",1015,100
,,1311,95
,,1346,90
,,1401,70
,,1384,50
,,1445,30
,"M",1017,100
,,1174,95
,,1203,90
,,1288,70
,,1293,50
,,1321,30
,"N",902,100
,,1175,95
,,1204,90
,,1289,70
,,1294,50
,,1322,30
,"B",901,100
,,1173,95
,,1202,90
,,1287,70
,,1195,50
,,148,30
,"C",589,100
,,766,95
,,813,90
,,902,70
,,622,50
,,647,30
,"D",132,100
,,165,95
,,171,90
,,168,70
,,207,50
,,164,30
,"E",139,100
,,171,95
,,178,90
,,201,70
,,211,50
,,232,30
,"F",134,100
,,166,95
,,172,90
,,199,70
,,213,50
,,168,30
,"G",899,100
,,1171,95
,,1200,90
,,1285,70
,,1196,50
,,1212,30
,"H",135,100
,,168,95
,,174,90
,,130,70
,,145,50
,,165,30
,"I",574,100
,,741,95
,,796,90
,,886,70
,,894,50
,,928,30
"5M3Z","A",104393,100
,,2685,95
,,2780,90
,,2774,70
,,736,50
,,376,30
"5M3Y","A",11274,100
,,9094,95
,,8295,90
,,7672,70
,,3813,50
,,3781,30
"5LRY","A",2746,100
,"C",2779,95
,,2738,90
,,1703,70
,,1618,50
,,1669,30
,"B",90920,100
,"D",2439,95
,,2420,90
,,2529,70
,,1311,50
,,444,30
"5LRV","A",35489,100
,,26408,95
,,16740,90
,,17092,70
,,17379,50
,,12982,30
,"B",92158,100
,,8,95
,,10,90
,,13,70
,,27,50
,,38,30
,"C",7,100
,,8,95
,,10,90
,,13,70
,,27,50
,,38,30
"5LS7","A",6250,100
,,7376,95
,,7080,90
,,6644,70
,,6521,50
,,6383,30
,"B",12928,100
,,10655,95
,,10180,90
,,9387,70
,,9201,50
,,8899,30
,"C",7275,100
,,4911,95
,,4708,90
,,4686,70
,,4470,50
,,3349,30
"5M3V","A",73208,100
,,21984,95
,,198,90
,,194,70
,,209,50
,,218,30
,"B",73209,100
,,21985,95
,,198,90
,,194,70
,,209,50
,,218,30
"5M3W","A",1720,100
,,1570,95
,,1634,90
,,1684,70
,,1446,50
,,1165,30
"5LRW","A",75428,100
,"C",78231,95
,,16740,90
,,17092,70
,,17379,50
,,12982,30
,"B",7,100
,"D",8,95
,,10,90
,,13,70
,,27,50
,,38,30
"5M45","A",69871,100
,"D",21397,95
,"G",17047,90
,"J",17866,70
,,17037,50
,,15355,30
,"B",69872,100
,"E",16580,95
,"H",18562,90
,"K",19425,70
,,16691,50
,,11855,30
,"C",69873,100
,"F",21398,95
,"I",17048,90
,"L",17867,70
,,17038,50
,,15356,30
"5M3T","A",8310,100
,"B",3440,95
,,2725,90
,,2682,70
,,2635,50
,,2614,30
"5LRT","A",5304,100
,,6291,95
,,6006,90
,,5969,70
,,5608,50
,,5513,30
"5M46","A",36674,100
,,12855,95
,,14671,90
,,6792,70
,,5812,50
,,449,30
"5M2A","A",8159,100
,"B",4939,95
,,4839,90
,,4663,70
,,3103,50
,,3046,30
"5LQA","A",843,100
,,396,95
,,403,90
,,369,70
,,365,50
,,387,30
"5M1Z","A",28973,100
,,10841,95
,,11005,90
,,10032,70
,,7061,50
,,6096,30
"5M2G","A",1895,100
,"B",2279,95
,,2277,90
,,2413,70
,,2310,50
,,2322,30
"5M2F","A",4211,100
,,2328,95
,,2331,90
,,224,70
,,252,50
,,124,30
"5M2C","A",8310,100
,"B",3440,95
,,2725,90
,,2682,70
,,2635,50
,,2614,30
"5LQD","A",106318,100
,"B",35787,95
,"C",46415,90
,"D",54676,70
,,32150,50
,,1804,30
"5M2D","A",94488,100
,"B",72416,95
,,39985,90
,,60956,70
,,2101,50
,,1290,30
"5M2Q","A",99542,100
,"B",10620,95
,,10226,90
,,8880,70
,,9419,50
,,7928,30
"5LQQ","A",5262,100
,,938,95
,,967,90
,,1050,70
,,1059,50
,,835,30
"5M33","A",8310,100
,"B",3440,95
,,2725,90
,,2682,70
,,2635,50
,,2614,30
"5M2R","A",74889,100
,,19122,95
,,16402,90
,,17040,70
,,9592,50
,,8856,30
"5M31","A",29410,100
,,35191,95
,,31534,90
,,27252,70
,,14599,50
,,14888,30
"5M2P","A",99470,100
,,19122,95
,,16402,90
,,17040,70
,,9592,50
,,8856,30
"5M2K","A"
,"B"
"5M2Z","A",18205,100
,"B",7347,95
,"C",6858,90
,"D",7081,70
,"E",2523,50
,"F",2597,30
"5M2W","A",15114,100
,"B",21752,95
,,17877,90
,,4,70
,,2,50
,,2,30
"5M2X","A",18205,100
,"B",7347,95
,"C",6858,90
,"D",7081,70
,"E",2523,50
,"F",2597,30
"5M36","A",935,100
,"B",1319,95
,,663,90
,,348,70
,,45,50
,,66,30
,"C",72687,100
,"D",52115,95
,,60650,90
,,50442,70
,,52631,50
,,31294,30
"5M2V","A",1920,100
,"B",937,95
,,972,90
,,458,70
,,382,50
,,395,30
"5M2S","A",57846,100
,,58350,95
,,65249,90
,,21560,70
,,21045,50
,,20334,30
,"B",57847,100
,,58351,95
,,65250,90
,,36114,70
,,26533,50
,,9092,30
"5M34","A",91984,100
,"B",10620,95
,,10226,90
,,8880,70
,,9419,50
,,7928,30
"5M2T","A",1782,100
